PRICE_NG_SPEC,PRICE_eMET_SPEC,PRICE_H2_SPEC,PRICE_NH3_SPEC,CC_VRE_VRE1,CC_VRE_VRE3,CC_ES_ES1,cluster,Fitness
64.0,227.0,20.0,26.0,142500.0,355100.0,10010.0,0,9076293.54057254
73.0,318.0,20.0,130.0,203000.0,203100.0,10010.0,1,9739963.81296993
73.0,182.0,20.0,26.0,115000.0,507000.0,10010.0,2,9754671.967439467
50.0,227.0,20.0,78.0,115000.0,203100.0,21710.0,1,8891872.123135926
73.0,136.0,20.0,78.0,115000.0,203100.0,42380.0,1,9435013.497371804
73.0,136.0,20.0,78.0,115000.0,203100.0,21710.0,0,8867728.302930819
64.0,318.0,20.0,78.0,142500.0,507000.0,10010.0,0,10078120.626859711
50.0,318.0,57.0,26.0,115000.0,203100.0,10010.0,1,9769366.076692346
50.0,136.0,20.0,78.0,115000.0,203100.0,42380.0,4,9951860.48401766
50.0,182.0,20.0,130.0,115000.0,355100.0,10010.0,0,10733462.24018114
73.0,136.0,20.0,78.0,142500.0,507000.0,10010.0,3,8784376.596696282
64.0,318.0,20.0,78.0,203000.0,507000.0,21710.0,0,11048413.459970567
64.0,273.0,20.0,130.0,142500.0,203100.0,21710.0,4,9679423.343893304
64.0,318.0,20.0,130.0,203000.0,355100.0,21710.0,3,10520781.535500277
64.0,227.0,20.0,26.0,203000.0,203100.0,10010.0,1,10632836.190521702
64.0,136.0,20.0,78.0,115000.0,203100.0,10010.0,4,8172164.386448347
73.0,136.0,20.0,130.0,115000.0,203100.0,21710.0,1,10328018.472898254
73.0,182.0,20.0,26.0,115000.0,507000.0,21710.0,0,8968826.660016887
73.0,182.0,20.0,26.0,115000.0,507000.0,10010.0,0,9623696.477159057
50.0,182.0,20.0,26.0,115000.0,355100.0,42380.0,3,11064937.863007572
64.0,136.0,20.0,26.0,115000.0,507000.0,10010.0,0,8226330.7204073295
64.0,227.0,20.0,78.0,115000.0,203100.0,10010.0,0,8735408.596171046
50.0,318.0,20.0,26.0,203000.0,507000.0,21710.0,0,9968854.545807973
50.0,136.0,20.0,78.0,115000.0,203100.0,10010.0,4,8304761.579366357
64.0,136.0,20.0,130.0,115000.0,355100.0,21710.0,1,10689707.515643535
64.0,136.0,20.0,26.0,115000.0,355100.0,10010.0,1,8736661.086289668
64.0,227.0,20.0,26.0,142500.0,355100.0,10010.0,0,9356262.54393828
64.0,136.0,20.0,26.0,203000.0,203100.0,10010.0,0,9090290.395343728
73.0,136.0,20.0,130.0,142500.0,355100.0,10010.0,1,9401813.238537688
64.0,227.0,20.0,26.0,115000.0,203100.0,10010.0,4,8180897.919118793
73.0,318.0,20.0,26.0,115000.0,203100.0,21710.0,2,9939895.269898811
64.0,273.0,95.0,26.0,142500.0,203100.0,42380.0,0,10025932.251070363
50.0,136.0,20.0,78.0,115000.0,203100.0,10010.0,4,8674902.386958579
73.0,273.0,20.0,26.0,142500.0,203100.0,10010.0,0,9850854.89992696
50.0,318.0,20.0,130.0,115000.0,355100.0,10010.0,4,9520234.27147491
64.0,273.0,20.0,26.0,142500.0,203100.0,10010.0,4,9343606.299454397
73.0,136.0,20.0,78.0,142500.0,507000.0,21710.0,0,10915613.627653986
64.0,136.0,132.0,78.0,115000.0,203100.0,10010.0,4,10072799.371568931
50.0,136.0,170.0,26.0,115000.0,203100.0,10010.0,4,9011827.435146058
50.0,227.0,20.0,78.0,142500.0,203100.0,21710.0,0,10234344.174425662
73.0,182.0,20.0,26.0,115000.0,203100.0,21710.0,1,9630845.854392497
73.0,136.0,20.0,26.0,142500.0,203100.0,10010.0,1,8965485.448032077
64.0,273.0,20.0,130.0,142500.0,203100.0,21710.0,1,9532809.203238782
50.0,227.0,132.0,78.0,115000.0,203100.0,10010.0,4,10045881.994622508
73.0,136.0,132.0,78.0,142500.0,203100.0,42380.0,1,10091301.77087382
50.0,136.0,20.0,26.0,203000.0,203100.0,10010.0,4,9464748.70692346
64.0,182.0,20.0,130.0,115000.0,355100.0,10010.0,1,10787351.869485147
64.0,227.0,20.0,78.0,115000.0,203100.0,10010.0,0,9000893.590524936
50.0,136.0,95.0,130.0,115000.0,355100.0,10010.0,0,11232543.853951037
64.0,227.0,20.0,130.0,115000.0,507000.0,21710.0,0,10215810.990791416
73.0,182.0,20.0,26.0,115000.0,203100.0,10010.0,0,9154891.409940662
64.0,136.0,170.0,130.0,142500.0,203100.0,21710.0,1,10987810.829209462
73.0,136.0,20.0,130.0,115000.0,203100.0,42380.0,1,10656058.747160643
64.0,136.0,20.0,26.0,142500.0,355100.0,10010.0,1,10956676.226106469
73.0,136.0,57.0,26.0,115000.0,355100.0,10010.0,1,10695422.381719774
64.0,227.0,20.0,130.0,142500.0,355100.0,10010.0,0,9539351.489347236
64.0,273.0,20.0,130.0,142500.0,203100.0,21710.0,1,9714702.994636253
50.0,182.0,20.0,26.0,115000.0,355100.0,10010.0,1,9045983.213874824
64.0,273.0,20.0,130.0,115000.0,203100.0,10010.0,0,9130718.850728266
50.0,182.0,20.0,130.0,142500.0,203100.0,10010.0,0,9012201.909856107
64.0,318.0,20.0,130.0,115000.0,355100.0,10010.0,1,11057567.866300236
50.0,136.0,20.0,78.0,115000.0,203100.0,10010.0,4,8706273.757586312
64.0,136.0,20.0,130.0,142500.0,203100.0,21710.0,1,8806255.435245736
73.0,318.0,20.0,78.0,142500.0,507000.0,10010.0,0,10568378.69515694
50.0,227.0,20.0,78.0,115000.0,203100.0,21710.0,1,8743469.51254769
73.0,136.0,132.0,26.0,115000.0,203100.0,42380.0,0,11706025.38552697
50.0,182.0,20.0,130.0,115000.0,203100.0,21710.0,1,11858426.978870578
50.0,182.0,95.0,26.0,142500.0,355100.0,10010.0,0,11960979.162584314
64.0,182.0,20.0,78.0,115000.0,203100.0,10010.0,2,9328278.475347929
50.0,182.0,20.0,130.0,115000.0,203100.0,21710.0,1,10171695.159454294
50.0,136.0,20.0,78.0,115000.0,203100.0,10010.0,4,8366391.811893228
73.0,318.0,20.0,130.0,142500.0,355100.0,21710.0,4,10586861.95152227
50.0,136.0,20.0,78.0,115000.0,355100.0,10010.0,1,9600112.344780762
73.0,182.0,20.0,130.0,115000.0,507000.0,10010.0,0,11114974.44122421
50.0,227.0,20.0,130.0,203000.0,355100.0,21710.0,0,10395205.138334144
64.0,182.0,20.0,130.0,115000.0,203100.0,10010.0,3,9859846.671931116
64.0,182.0,20.0,26.0,115000.0,203100.0,10010.0,0,9645826.84894489
